ID,Tournament,Date,Home Team,Home Goals,Away Goals,Away Team,Win Conditions,Home Stadium
4018,King's Cup,1970-11-14,Thailand,0,0,South Korea,,1
4019,Friendly,1970-11-15,Belgium,1,2,France,,1
4020,Friendly,1970-11-15,Guinea,1,0,Senegal,,1
4021,Friendly,1970-11-15,Switzerland,0,1,Hungary,,1
4022,King's Cup,1970-11-16,South Korea,4,0,Singapore,,0
4023,King's Cup,1970-11-18,South Korea,2,0,Malaysia,,0
4024,Friendly,1970-11-18,Yugoslavia,2,0,Germany,,1
4025,King's Cup,1970-11-20,Thailand,0,1,South Korea,,1
4026,Friendly,1970-11-22,Greece,1,3,Germany,,1
4027,UEFA Euro qualification,1970-11-25,Belgium,2,0,Denmark,,1
4028,Friendly,1970-11-25,England,3,1,German DR,,1
4029,Friendly,1970-02-12,Netherlands,2,0,Romania,,1
4030,African Cup of Nations qualification,1970-10-12,Algeria,3,1,Morocco,,1
4031,UEFA Euro qualification,1970-12-16,Greece,0,1,Switzerland,,1
4032,Friendly,1970-12-19,Senegal,4,1,Malawi,,1
4033,UEFA Euro qualification,1970-12-20,Malta,1,2,Switzerland,,1
4034,African Cup of Nations qualification,1970-12-27,Morocco,3,0,Algeria,,1
4035,Friendly,1971-08-01,Argentina,3,4,France,,1
4036,Friendly,1971-10-01,Ghana,1,1,DR Congo,,1
4037,Friendly,1971-01-13,Argentina,2,0,France,,1
4038,Friendly,1971-01-31,Ghana,1,2,Sierra Leone,,1
4039,UEFA Euro qualification,1971-03-02,Belgium,3,0,Scotland,,1
4040,UEFA Euro qualification,1971-03-02,Malta,0,1,England,,1
4041,Friendly,1971-07-02,Ghana,1,2,Sierra Leone,,1
4042,Friendly,1971-08-02,Uruguay,0,3,German DR,,1
4043,Friendly,1971-10-02,Uruguay,1,1,German DR,,1
4044,UEFA Euro qualification,1971-02-17,Albania,0,1,Germany,,1
4045,UEFA Euro qualification,1971-02-17,Belgium,3,0,Portugal,,1
4046,Friendly,1971-02-17,Mexico,0,0,Russia,,1
4047,Friendly,1971-02-20,Italy,1,2,Spain,,1
4048,Friendly,1971-02-20,Mexico,0,0,Russia,,1
4049,UEFA Euro qualification,1971-02-24,Netherlands,6,0,Luxembourg,,1
4050,Friendly,1971-04-03,Cameroon,1,1,Senegal,,1
4051,Friendly,1971-07-03,Cameroon,1,2,Senegal,,1
